"","feature","feature_num","feature_names","coefficient","significance","pseudoR2"
"1","lowfeature_1",1,"Dis_Telo","1.0283784099881e-09","0.578102024355588","0.000133637658239483"
"2","lowfeature_2",2,"Dis_Cent","8.50490546973371e-10","0.592774674878838","0.000123578720502393"
"3","lowfeature_3",3,"Rep_Timing","-0.934452220026993","0.000728646183203654","0.00497624533186802"
"4","lowfeature_4",4,"Female_Recom_Rate","-0.120705091751473","0.00547108021220415","0.00334990905603405"
"5","lowfeature_5",5,"Male_Recom_Rate","-0.0809558753111621","0.0472088536768638","0.00170553507356963"
"6","lowfeature_6",6,"Average_Recom_Rate","-0.00786870180064272","0.853339524945922","1.4761229794269e-05"
"7","lowfeature_7",7,"Telomere_Hexamer","-0.0142761785203285","0.0505370077380496","0.00165868000537683"
