"","feature","feature_num","feature_names","coefficient","significance","pseudoR2"
"1","lowfeature_1",1,"Dis_Telo","9.06895076666012e-09","4.45748853103535e-07","0.0100592218863842"
"2","lowfeature_2",2,"Dis_Cent","-2.56626182650009e-09","0.0793343711786321","0.00120415770867943"
"3","lowfeature_3",3,"Rep_Timing","-3.5614681415218","6.44954669969829e-43","0.0841652925939582"
"4","lowfeature_4",4,"Female_Recom_Rate","-0.433409335150057","2.1896681547266e-23","0.0411126486163109"
"5","lowfeature_5",5,"Male_Recom_Rate","-0.397940205997371","3.2002775180671e-22","0.0388215246210867"
"6","lowfeature_6",6,"Average_Recom_Rate","-0.151838853225509","0.000246747724747759","0.00527730544250415"
"7","lowfeature_7",7,"Telomere_Hexamer","-0.145818407503621","9.25531213362803e-69","0.164897842011509"
