"","coef_H3K9me3","pval_H3K9me3","coef_H3K27me3","pval_H3K27me3","coef_Direct repeats","pval_Direct repeats","coef_Inverted repeats","pval_Inverted repeats","coef_Mirror repeats","pval_Mirror repeats","coef_Z DNA motifs","pval_Z DNA motifs","coef_Exons","pval_Exons","coef_Mononucleotides","pval_Mononucleotides","coef_Microsatellites di- tri- tetra-nucleotide","pval_Microsatellites di- tri- tetra-nucleotide","coef_L1 target motifs","pval_L1 target motifs","coef_L2 and L3","pval_L2 and L3","coef_CpG islands","pval_CpG islands","coef_Sperm hypomethylation","pval_Sperm hypomethylation","coef_Sex-averaged recombination hotspots","pval_Sex-averaged recombination hotspots"
"(Intercept)",-0.213728513296155,4.90972981377854e-06,-0.282022442316668,2.30573846808899e-08,-0.219508732807808,3.27884461599796e-06,-0.217056239456568,4.02977151225624e-06,-0.216058084677732,4.13767725005324e-06,-0.219365181077653,3.39262450617658e-06,-0.252849656872814,2.52055928976845e-07,-0.214930259480413,4.41162813349793e-06,-0.214006443363536,4.55412947351479e-06,-0.215099838957397,4.34137801342694e-06,-0.230051940894953,1.87117882409907e-06,-0.256989113443773,1.52447882473036e-07,-0.213982381786217,4.50455630093291e-06,-0.216119498843641,3.92414943951147e-06
"x.bspl3.1",0.00436426968454324,0.912387329405207,-0.0449688459594667,0.140244609924872,-0.00327004778869618,0.796683063211526,0.0451841264362501,0.200323338653493,0.0329479281065371,0.165183400684614,-0.00398421071605059,0.322922157417346,-0.00149070819340857,0.839410776598087,-0.0181554770734558,0.317587862132107,-0.0152372308357027,0.357958561457259,-0.0142348378915602,0.652399835331402,-0.003061840707856,0.41128456310839,0.00198083070705752,0.534188323373751,0.00148314663334203,0.494872965773644,-0.00842617483114899,0.0174761384092443
"x.bspl3.2",0.00426989524804742,0.896485066686905,-0.0554247723559555,0.0320936290412976,-0.0135848210644405,0.198972453573999,0.0396726475497767,0.1783782120121,0.0304056753312993,0.129947934838115,-0.00668749868434969,0.0370393915180645,-0.00122998425958341,0.834593405814701,0.0140612474955911,0.371935308229777,0.00651419231905313,0.633074987228907,0.0421494004799636,0.106818101492353,-0.00467666361310136,0.127479848114075,-0.00656977461906152,0.0107231235701181,-0.000105550731126099,0.951460487129405,0.00303176313258599,0.283403708041804
"x.bspl3.3",0.031205288343145,0.158937779929091,0.0590452225057971,0.000893429732760376,-0.00566630789787352,0.475873547470161,0.0306785780249606,0.167927757487841,-0.00197513287306292,0.892310316432178,-0.0009450997131317,0.691915444624491,-0.00264221863511961,0.502757441538818,-0.00294361527645172,0.799844018427096,-0.0140961378435184,0.161624791328465,-0.0126621496887878,0.493674640389585,-0.000263908024537664,0.905022012217325,0.000586562066852994,0.736009343438196,0.000355736408571763,0.771794150656732,-0.0019815117921981,0.29258021876343
"x.bspl3.4",-0.00855880171494522,0.687941568386591,-0.0941155399870042,1.02904964449476e-07,-0.00473760255723832,0.520290064259103,0.0394597852476224,0.0624602857480743,0.0219576151493448,0.121673253456783,-0.0050476381357739,0.0264164117187875,-0.00810024388388787,0.0374468468039362,-0.0180588116527784,0.0930584067893526,-0.00167448231162623,0.862011563027457,-0.0291813404029857,0.0858887994537189,-0.00767509537079062,0.000332680107902695,-0.00611452683672837,0.000457065638081188,-0.000903151181244359,0.44926372824444,-0.000412636187899764,0.804724312002506
"x.bspl3.5",-0.00320304057060158,0.888938517798256,0.023224746123583,0.207272092623797,-0.019797509869023,0.0110023977650932,-0.00837366206852363,0.712540381011374,-0.00120153394581077,0.936805658234426,-0.00299466300874964,0.205487531680668,-0.00497608239728113,0.19939147270345,0.00771794207764164,0.50374568017523,0.00864260113739261,0.397527248514452,-0.0148108510728126,0.412666087300358,-0.00214162325047707,0.329692414112261,0.000556755036598773,0.730504301716596,0.00209754284437666,0.0861672880615169,-0.000691045064919342,0.708854505781156
"x.bspl3.6",0.0447312155524869,0.166435364461672,-0.0686315828741672,0.00837099261828967,-0.00379044270743059,0.722447595709617,0.0386967890466496,0.197689805252316,0.0189086684704747,0.342095529174013,-0.000744907364034299,0.816846227004842,-0.00323602681526488,0.580554726737094,-0.0195489373048917,0.210620225652016,-0.000446827753281271,0.973725968488361,0.0100571341912594,0.70320453462102,-0.00314528905010577,0.301544452907199,-0.00690385792524666,0.00468801583195401,-0.00290438672918795,0.0961283026220369,-0.00184002174326637,0.507908483320632
"x.bspl3.7",-0.0466199512711067,0.211710130134768,-0.0110665223440608,0.723137867013081,-0.0159109988480461,0.215418366871077,-0.0357960407236247,0.317354398765563,0.0296020901184119,0.226024716321319,-0.00867378604161734,0.0311012797138185,-0.00301640042363105,0.69042508115773,0.0185335600036672,0.317103662633562,-0.020306176928751,0.201854590461856,0.0286193729677833,0.360878878934168,-0.00650374631630987,0.0828263685313906,-0.00230251519300006,0.477565655524396,-0.00199990406411995,0.371648626283939,-0.0035670566422876,0.332881365218152
