"","coef_H3K27ac","pval_H3K27ac","coef_H3K36me3","pval_H3K36me3","coef_H3K4me1","pval_H3K4me1","coef_H3K4me2","pval_H3K4me2","coef_H3K4me3","pval_H3K4me3","coef_H3K9ac","pval_H3K9ac","coef_H3K27me3","pval_H3K27me3","coef_DNase hypersensitive sites","pval_DNase hypersensitive sites","coef_RNA Pol2","pval_RNA Pol2","coef_G Quadruplexes","pval_G Quadruplexes","coef_Mirror repeats","pval_Mirror repeats","coef_Exons","pval_Exons","coef_GC content","pval_GC content","coef_Mononucleotides","pval_Mononucleotides","coef_Alu","pval_Alu","coef_L2 and L3","pval_L2 and L3","coef_CpG islands","pval_CpG islands","coef_Sperm hypomethylation","pval_Sperm hypomethylation","coef_Replication origin","pval_Replication origin","coef_CPG Methylation","pval_CPG Methylation"
"(Intercept)",-0.035608058186742,0.430689734251269,-0.036474793627503,0.415809783959523,-0.0365853526948936,0.423084936030894,-0.0362495677424519,0.42192772090744,-0.0344970681341893,0.441381229935843,-0.034196039589534,0.448204480528747,-0.035317717804418,0.428394208424538,-0.0338853298506155,0.448020976803994,-0.0335382536670707,0.450258505533885,-0.0332007564314337,0.457742431549798,-0.0339058558443979,0.451449719507949,-0.0335136840388328,0.451575751930446,-0.0341220193189759,0.445565461412204,-0.0334986443911835,0.450590497997341,-0.0328607661461953,0.461290877395784,-0.0369443217893843,0.420940979984827,-0.0268381694187476,0.552715772393091,-0.031743605628007,0.480465503777285,-0.0334743005806032,0.451829443705228,-0.0337030938350322,0.448189614094238
"x.bspl3.1",-0.00772593085707576,0.872190111405003,-0.00780942222506485,0.800405782064217,0.00141095038073915,0.952291144161006,0.00488956400921403,0.777018833079452,0.00260982788825203,0.900605556810238,0.00946709698945526,0.760409706320093,0.0112148236838203,0.65223414564234,0.0648976445098992,0.0122299763209247,0.0182428272675808,0.206029111587996,0.00913300667835091,0.253646808654494,-0.00358839171016787,0.875973950342828,-0.00138508058074805,0.813381133243078,0.174416344685272,0.263561965336398,-0.00962026870149387,0.589313459833702,-0.0633908322260184,0.702766576535748,-0.00727798983350188,0.041697236390601,0.00188030606786595,0.44450400693326,0.000917107744432351,0.654752392908053,-0.00426818169400194,0.386122489757732,0.0826215423898223,0.594846464086586
"x.bspl3.2",0.0208719294516645,0.589859705398815,0.00227971667121287,0.927829692023504,-0.00180219269236864,0.924505755933824,-0.00148568645445727,0.913120909033421,0.00280257516531096,0.868959664218109,0.00798809679909609,0.754865684345526,-0.0151819513642908,0.46141637254458,-0.0322880035627121,0.133927372423229,0.00144922506423837,0.90679588890102,0.000213710272910069,0.973832447321904,0.0562679978027685,0.00403292183401694,0.00508711282746849,0.286262250326845,-0.0443254949926656,0.732926231227386,0.0140200782671754,0.346073964101283,0.109607968180433,0.436309404169874,-0.00465875618958886,0.107132109109479,0.00218975132845132,0.224399919671191,0.00344689976981373,0.0345373795916286,0.00533191243469092,0.182103298472896,-0.137017139844841,0.324214312304961
"x.bspl3.3",-0.0695277695668974,0.0113297293448145,-0.0126780453431464,0.442053366836606,-0.0241887854025086,0.061441789034898,-0.0267421002569821,0.00542106790184852,-0.0318185574091541,0.0091681250722645,-0.0357117357341256,0.0494802837054037,-0.000292515082654751,0.98322711658019,-0.0103330962252373,0.494488529274051,-0.0119535444103929,0.166937431320461,0.00347677078528012,0.464238135793925,-0.000598024303178395,0.966710908869922,-0.00639783274672138,0.0423930714342591,-0.093354629194226,0.295475175630322,-0.0059751403255354,0.580841156681396,-0.0064744268329866,0.948316779039495,-0.000162744892143876,0.938241505781464,-0.00154053053809514,0.209318547963505,-0.00194891259599393,0.0882999154174175,-0.00203174415584098,0.446429869989161,0.116482150894444,0.228281272315602
"x.bspl3.4",0.00971371836826523,0.698696037157767,-0.0362695466369245,0.0205307518787203,0.00253119973700271,0.830841649662532,0.0218183010899958,0.00935342082741546,0.0174643150094717,0.100148627487994,0.0112705072448705,0.493239321288886,0.0058093016590402,0.613514790982558,0.0355126151200139,0.00897313779272859,0.011656207521621,0.143487920989955,0.00894913054241339,0.0358821169784652,0.0244565628736157,0.072478886570854,0.00527906598011303,0.0681487375984732,0.304154968000284,0.000166371857874649,0.00688937750814159,0.486993536187514,0.151925923858369,0.0853071744528633,-0.00526889643501941,0.0088930206545451,0.00600486350031494,1.23872022467646e-08,0.00575581705561805,1.27244850260844e-08,0.00481922453588245,0.0521334333308388,-0.170148280466787,0.0297411925257036
"x.bspl3.5",-0.0318685991863656,0.232860771856044,0.0273660470578221,0.117070866893115,-0.0242380423426671,0.0595376204558284,-0.0251207196429837,0.00781205383330329,-0.0247205422769209,0.0381271166195932,-0.0270905542866516,0.130711013795632,-0.00189128644094384,0.897587227893335,-0.0198415743396087,0.191131047822633,-0.0094720132784398,0.263776011021219,-0.00569664305372322,0.219558973068901,0.0139293642518997,0.335716304471209,-0.00140584096144439,0.643048522024215,-0.19730262907685,0.0227562077129204,-0.0129247812834419,0.221809534555432,-0.17140791077161,0.0712933756028059,-0.0017574425999732,0.411087214229266,-0.00167993561169954,0.155184123095011,-0.00147177901180652,0.194339272110605,-0.00100890730396463,0.712629798758597,0.168587326296277,0.0906783391778108
"x.bspl3.6",-0.0469228265234184,0.237212121792482,-0.0323258557569604,0.221917399007272,-0.024614968311406,0.194035322583346,-0.0185933644877336,0.180646172553691,-0.0144208412637427,0.40399275631444,-0.0369897579763905,0.159614151795107,-0.0286167465524328,0.176723996580457,-0.0245485935654766,0.251662923828051,0.0096031170506138,0.432152270286438,-0.0122025515518639,0.0505012960316306,0.0359998422032936,0.0594175740396583,-0.00823550045007283,0.0754662280348809,-0.188854370277356,0.124446701180119,0.024989551189119,0.0920504456089375,0.249386546419425,0.067935371017657,-0.00366440949699393,0.217287404196126,-0.000728659266452962,0.680659262573632,-0.000283457336089684,0.861889919495246,-0.00377435073574769,0.331993475040343,-0.0550297356371664,0.704830165882928
"x.bspl3.7",0.0320663667552563,0.510147101976338,0.0236948461611905,0.436807597484927,-0.0035837360672857,0.877284118989861,-0.00292896563797652,0.863546651453574,-0.0144949557457046,0.497212086410114,0.003895786942691,0.901537389757966,-0.00524624192314616,0.836473845149261,0.00163104106396274,0.949900949814728,-0.00221737298963028,0.872911628407696,0.0142387633248764,0.0623457571711234,-0.00285444161184478,0.905640313610249,0.0165545510161073,0.00469639080771895,0.224365259255569,0.141222303775239,-0.0332524022178408,0.0609544205871934,-0.25601612667755,0.118121610779238,-0.00746037556640943,0.0385928503785139,0.000120292461513897,0.959359833373801,-0.000876598163792431,0.670814107854974,-0.000626668612173821,0.897814905297154,0.0921555090621106,0.589611398013512
