"","coef_H2AFZ","pval_H2AFZ","coef_H3K27ac","pval_H3K27ac","coef_H3K4me1","pval_H3K4me1","coef_H3K4me2","pval_H3K4me2","coef_H3K4me3","pval_H3K4me3","coef_H3K9ac","pval_H3K9ac","coef_H3K9me3","pval_H3K9me3","coef_H3K27me3","pval_H3K27me3","coef_CTCF","pval_CTCF","coef_DNase hypersensitive sites","pval_DNase hypersensitive sites","coef_RNA Pol2","pval_RNA Pol2","coef_G Quadruplexes","pval_G Quadruplexes","coef_Z DNA motifs","pval_Z DNA motifs","coef_Most conserved element","pval_Most conserved element","coef_Exons","pval_Exons","coef_GC content","pval_GC content","coef_Mononucleotides","pval_Mononucleotides","coef_Alu","pval_Alu","coef_L1 target motifs","pval_L1 target motifs","coef_CpG islands","pval_CpG islands","coef_Sperm hypomethylation","pval_Sperm hypomethylation","coef_Replication origin","pval_Replication origin","coef_CPG Methylation","pval_CPG Methylation"
"(Intercept)",-0.184730787869873,9.90485069389761e-05,-0.209354816320493,2.39526797995861e-05,-0.207440237926669,2.81931729818388e-05,-0.223587065873314,1.00471846113416e-05,-0.212526369531406,1.8727456040751e-05,-0.212259786574505,2.52192039403022e-05,-0.179899423658495,0.000143598104909256,-0.209362879225624,1.75052276003206e-05,-0.208627256543009,2.71069214837173e-05,-0.227733164794681,8.79684913653338e-06,-0.197751129020544,4.40750442459166e-05,-0.240353025277483,1.89215035452591e-06,-0.182765620830177,0.000111543022815217,-0.188378996953046,8.03211180313524e-05,-0.220835729031879,8.58058985660094e-06,-0.249803066258954,1.43242677089908e-06,-0.18176245835897,0.000118246687087525,-0.260084208522639,4.73957763133336e-07,-0.192581213258572,6.75610123375263e-05,-0.332168825207671,1.97835705607125e-09,-0.188708957012558,7.67108174758797e-05,-0.258401226341364,5.76997956890145e-07,-0.181492294578717,0.00011859261654796
"x.bspl3.1",0.00453152234958514,0.911075771240199,-0.0420912486713072,0.422596911139084,-0.0179968245992245,0.486425322173687,-0.012727910913026,0.524985791138576,-0.0204619770905212,0.382863790069629,-0.0287811076184101,0.383424518488539,-0.0159103677283117,0.67297222722651,-0.0474042435051333,0.132005579019096,-0.044214159535453,0.0868481647727954,-0.0519043923760154,0.0743450354193337,-0.0147271135257448,0.336388213613592,-0.00853997641434505,0.357542071232235,-0.00831581181146631,0.0359478968866912,0.00286584384094854,0.870450065376843,-0.00319586653229298,0.658162294339706,-0.203044201045875,0.226330613554996,-0.0106742933831228,0.566770171220287,-0.15334955208651,0.47725137041762,0.0176018942324953,0.546877200643309,0.00175191645570216,0.583562362730574,0.000905412192911546,0.673261211283811,0.01256889700101,0.0372769767610002,-0.145935353359684,0.429022291809803
"x.bspl3.2",-0.0147217807843294,0.664032122915723,-0.00886756690680168,0.840558367197299,-0.0250408469624332,0.241737618060005,-0.0277559891261407,0.0973377443483174,-0.0387416910670321,0.0571441269745145,-0.0168219875744375,0.551072554113468,0.0237977769975991,0.444793421712572,-0.0212814232283381,0.404525156786147,0.0090678591906199,0.679771935072736,0.0141753165491363,0.566316626411338,-0.00607929095647775,0.640397329933358,-0.0123770986453039,0.103887169405759,8.46442676866138e-05,0.979384696910757,-0.00911446830030093,0.535192672492546,-0.00431174920422021,0.460434545404432,-0.0411962772283896,0.776433064441952,0.000780582426491634,0.960268947267757,-0.306372032049263,0.0915900025589903,0.0465003118460849,0.0556385119772902,-0.0092060299759809,0.000485584358348476,-0.00379134838667185,0.028273758278691,-0.0135768486535385,0.00510606537541338,0.264718853814244,0.108441209472676
"x.bspl3.3",0.0651957377308695,0.00381670081437567,0.0012123717728512,0.968950671797983,0.0166656234918265,0.241784481778448,0.010677427134518,0.35365574120683,0.0136023815771696,0.342325666176705,-0.00122714941163743,0.950531164749774,0.00935166279742152,0.652195346282908,0.0288428308375788,0.0691044518199283,-0.0097615139826241,0.53015150076253,0.0154129868407087,0.369373376858041,0.0102213332395719,0.262343276137201,-0.00388078984909973,0.48182473010386,-0.00211746386838458,0.380660014966348,0.0194732056496108,0.0592093715088894,0.00371495768226131,0.349955631877729,0.143545985885192,0.157316446586702,0.00355133713022007,0.759823588977106,0.00767918186074747,0.95321498363547,0.0218113865918467,0.18454734474836,0.00217554847843195,0.22260286958785,0.00250349585766477,0.0386617293544956,0.00237029453684883,0.485994989474117,-0.297691222270451,0.0076906396184801
"x.bspl3.4",-0.0238752860432985,0.2246291635176,-0.08938537228202,0.00136548185109565,-0.0581216256720698,8.3226830458462e-06,-0.0611856969663673,4.33993274839352e-09,-0.0742436364294018,1.97413180229664e-08,-0.074137232432408,2.21333950817873e-05,0.0584094656243051,0.00331445031188552,-0.053616094983548,0.000159960800010973,-0.0417153864749624,0.00191167936629701,-0.0832352982347548,1.37375939108298e-07,-0.0318791099971161,0.000159417686411444,-0.0141566832577436,0.00469324494673016,-0.0013939148914906,0.530717397529115,-0.0437112861549319,2.92928152977569e-06,-0.0144872710577363,0.000114926733158613,-0.505880817615134,1.03884597540783e-07,-0.0236275493695931,0.0311605899711851,-0.272417091817843,0.0221942329304914,0.00483524306623945,0.755974562529537,-0.0125717445482656,3.73933156287691e-14,-0.00682871761266997,7.23414133301544e-10,-0.0122705899390863,0.000104823704918075,0.399221540266814,4.35178660957174e-05
"x.bspl3.5",-0.00939294508146956,0.673708380388725,-0.0599452101381752,0.0479274794553085,-0.00505386878371296,0.71980237570626,-0.0049202563868535,0.668440909580447,-0.0150547510271216,0.302526787357761,-0.0228707094433135,0.234151401115985,-0.0626257024697752,0.00434636181391229,0.00475348776691014,0.77387966765158,-0.0403468564822055,0.00787283739870806,-0.0188076042570496,0.270047748721535,0.00335028810265934,0.712678952946284,-0.00158852297913106,0.771647701517095,-0.00395275118636348,0.0985762052724865,0.00335103968956479,0.729524604746718,-0.00133275974014918,0.730769396374315,0.193132728969803,0.0471778160260056,0.0212215633330219,0.0611825319168971,0.0962872713426615,0.455877331680394,0.00437746152623525,0.797178211057793,0.00211226547300636,0.198353331334083,0.00362776560228211,0.00250335784998696,0.00176216839728681,0.601885138928954,-0.452391842108864,9.5783293338051e-05
"x.bspl3.6",0.0348763296949777,0.281009188438344,0.0446984946818074,0.307707050437477,-0.0161068525268751,0.436134913657087,-0.0139347169739619,0.409052452168375,-0.00717564809678299,0.73060963540677,0.00525631827997875,0.848262461178015,0.0600958378377498,0.0437980486001719,-0.0296832651305957,0.23615678099371,0.0170623780225198,0.415486677560532,0.0169028393949225,0.490851656601661,-0.00909978957220121,0.480338011883554,-0.0109919923221118,0.1459067244843,-0.00124085014149259,0.706054210427482,0.00100656042815129,0.944514072999951,0.00377343076774174,0.521595748111383,-0.0588275689185712,0.670668491653597,-0.0427406893582123,0.00618611630002093,-0.267719997933927,0.128141774503129,0.0167917104087553,0.487575499294261,-0.0057861322537103,0.0265868179174157,-0.00274732162283883,0.129374781269563,-0.0114010302358318,0.0212751398892067,0.361605550449785,0.0281161977280605
"x.bspl3.7",0.0207781011316111,0.591715558923828,-0.113845806268799,0.0385461901582191,-0.0200283408355689,0.429548324810679,-0.0269475265028034,0.173797114984509,-0.0521157834384765,0.032123227715136,-0.0575156822315196,0.0827949711436183,-0.0521071016227631,0.132654457635975,-0.00154038924008827,0.956534580400701,-0.0524261515287596,0.0386447217494508,-0.0322440100263057,0.279531698429703,-0.0169973175836842,0.257059030552734,-0.0129219995766851,0.16634476636635,-0.00796656464955399,0.0507305399372055,-0.0181475585587004,0.304741554146092,-0.0220262893705149,0.00303557303269437,-0.1815984301358,0.301818422792269,0.0497958267502297,0.00777253433508879,0.169682486223332,0.41762503671575,0.0210618463108807,0.46496966487156,-0.00274218325114718,0.414502442487662,-0.00166660534236837,0.458228797418932,0.00317411179641759,0.623429130251781,-0.239271256776269,0.170259998575619
