"","feature","feature_num","feature_names","coefficient","significance","pseudoR2"
"1","lowfeature_1",1,"Dis_Telo","-2.45371699471382e-09","0.156575203580979","0.000713186112950237"
"2","lowfeature_2",2,"Dis_Cent","-2.87531678513342e-10","0.830613994239052","1.62326438603033e-05"
"3","lowfeature_3",3,"Rep_Timing","0.625728732498523","0.00229688372402034","0.00331108869742425"
"4","lowfeature_4",4,"Female_Recom_Rate","-0.146829296832892","0.000151662006957068","0.00512954563538226"
"5","lowfeature_5",5,"Male_Recom_Rate","-0.223764989558666","8.79754815868649e-10","0.0136204686490299"
"6","lowfeature_6",6,"Average_Recom_Rate","-0.0988544044565046","0.0111431933031956","0.00229339909350568"
"7","lowfeature_7",7,"Telomere_Hexamer","-0.106776892274209","2.80890560722632e-52","0.0996022949234258"
