"","feature","feature_num","feature_names","coefficient","significance","pseudoR2"
"1","lowfeature_1",1,"Dis_Telo","1.03553233412185e-08","1.1580149641654e-08","0.0131244887421091"
"2","lowfeature_2",2,"Dis_Cent","-3.03128695352357e-09","0.0390226098130006","0.00169177134918974"
"3","lowfeature_3",3,"Rep_Timing","-3.15374705762321","1.37809916963288e-39","0.0755514081681042"
"4","lowfeature_4",4,"Female_Recom_Rate","-0.137940186465951","0.000575866795261084","0.00471542078692433"
"5","lowfeature_5",5,"Male_Recom_Rate","-0.0609237610250326","0.101682254400948","0.00106113425078014"
"6","lowfeature_6",6,"Average_Recom_Rate","-0.0405822144542185","0.315014137911304","0.000399239515497918"
"7","lowfeature_7",7,"Telomere_Hexamer","-0.0196566417893521","0.00406030497896131","0.00329454919284822"
