"","feature","feature_num","feature_names","coefficient","significance","pseudoR2"
"1","lowfeature_1",1,"Dis_Telo","8.27982705978685e-09","5.4809956717501e-06","0.00812260165293732"
"2","lowfeature_2",2,"Dis_Cent","-3.32514074032182e-09","0.0224641673107127","0.00203947272105898"
"3","lowfeature_3",3,"Rep_Timing","-2.57383051987563","2.86057886952143e-27","0.0488873709716211"
"4","lowfeature_4",4,"Female_Recom_Rate","-0.302223799758972","6.66465840368681e-13","0.0206932016354691"
"5","lowfeature_5",5,"Male_Recom_Rate","-0.310764922716693","1.06382305656224e-14","0.0241100041455573"
"6","lowfeature_6",6,"Average_Recom_Rate","-0.139877072611631","0.000608405074257115","0.00460309532584491"
"7","lowfeature_7",7,"Telomere_Hexamer","-0.124131066204211","5.0205842528122e-59","0.131422558971629"
