"","coef_H2AFZ","pval_H2AFZ","coef_H3K27ac","pval_H3K27ac","coef_H4K20me1","pval_H4K20me1","coef_H3K36me3","pval_H3K36me3","coef_H3K4me1","pval_H3K4me1","coef_H3K9ac","pval_H3K9ac","coef_H3K9me3","pval_H3K9me3","coef_DNase hypersensitive sites","pval_DNase hypersensitive sites","coef_RNA Pol2","pval_RNA Pol2","coef_Direct repeats","pval_Direct repeats","coef_Mirror repeats","pval_Mirror repeats","coef_Most conserved element","pval_Most conserved element","coef_Exons","pval_Exons","coef_GC content","pval_GC content","coef_Mononucleotides","pval_Mononucleotides","coef_Microsatellites di- tri- tetra-nucleotide","pval_Microsatellites di- tri- tetra-nucleotide","coef_Alu","pval_Alu","coef_LTR elements","pval_LTR elements","coef_L1 target motifs","pval_L1 target motifs","coef_L2 and L3","pval_L2 and L3","coef_Sperm hypomethylation","pval_Sperm hypomethylation","coef_Replication origin","pval_Replication origin","coef_Sex-averaged recombination hotspots","pval_Sex-averaged recombination hotspots"
"(Intercept)",-0.219606426726395,3.15513099691735e-06,-0.372588568814176,1.94897274005101e-10,-0.355863495964578,1.63490824750301e-10,-0.359778496042493,3.99892365819877e-11,-0.386924798316463,7.5697525953566e-11,-0.355460266110294,4.27127515962202e-09,-0.216215641787795,4.05464672105931e-06,-0.265352452592619,7.41852796318806e-07,-0.230425039046179,1.47754492117225e-06,-0.223378835616756,2.42614771050701e-06,-0.224017522020412,2.51535999731949e-06,-0.320610724723765,4.40997906573668e-09,-0.286586306583819,1.62643463623216e-08,-0.340940603223145,4.96214005063262e-10,-0.221022888760461,2.83620344571831e-06,-0.217166331743295,3.45784601717714e-06,-0.304521165732778,3.38157005436982e-09,-0.236783566562317,1.29944681107426e-06,-0.21676992727395,3.5463183104037e-06,-0.235166234342134,1.31150660407074e-06,-0.216358553223272,3.54963156288627e-06,-0.329976009539503,4.89784777447094e-10,-0.225760439262957,1.8825561712129e-06
"x.bspl3.1",-0.0210244984298666,0.616084018196054,-0.0692647041857774,0.286320005924321,-0.0855672327323333,0.0572271622020178,-0.0482382060259073,0.22508218443029,-0.0376734567288575,0.222278770062089,-0.0361059968659593,0.388825154508925,-0.0423453479797583,0.291261651012058,0.0211211331869888,0.505592271155547,-0.00491737247446534,0.752884865265799,-0.00255478717605057,0.838429433574464,-0.00811747614988687,0.735759866539791,0.0202239227001699,0.313680378148432,0.00713551362141265,0.348142736863642,0.0304099746928307,0.871213541949575,-0.0365515819905464,0.0450433349521258,-0.012630997976753,0.443239904227298,-0.444940585236479,0.0512019361975874,0.00933067039279963,0.0500738206687582,0.0146372186623521,0.628622625943597,-0.00769732895915328,0.0399382450348889,0.000838135035256902,0.712678634610009,-0.00096905749545616,0.878442680190669,-0.0136281952360562,0.000240434688156614
"x.bspl3.2",-0.00769310273149368,0.823934609407576,-0.139022220598163,0.0101685537979952,-0.0116327617432629,0.751768345827382,-0.0343938829673283,0.296362210372121,-0.0600372107809865,0.0150521582808214,-0.0844649039782861,0.0174313518413925,0.0208090733255595,0.517092769493262,-0.0615440104018741,0.0222083040690269,0.00029930399507204,0.982330197798571,-0.0269482137976638,0.00877764380548601,0.0667425742966978,0.00111909020127638,-0.0448551650379921,0.00487560555366341,-0.0095809664444562,0.112083799033026,-0.280652400419723,0.0737280858394217,0.0198195669411774,0.206062034018669,0.00893359783774794,0.520351708710466,0.0834768986162041,0.668441936397675,-0.00130288680885536,0.734680567172397,-0.0203766259694111,0.407032860115568,-0.00497158075226042,0.0973938608312673,-0.000223222095410056,0.901800005507034,-0.00240042049013593,0.640784338587398,0.00322778654646348,0.268078718710211
"x.bspl3.3",0.0783574980285048,0.00123254157558421,0.055211783702491,0.147323153395268,0.0115855195596164,0.636324692482323,-0.0186627626442614,0.412162176993436,0.023332735817313,0.166108453444104,0.0175300843002294,0.492878550697143,0.017967045346379,0.422960749755753,0.030356509262307,0.111540508309046,-0.00156070123813387,0.871667875471166,-0.0148285521480603,0.0622006400912863,-0.0101015828377987,0.501350554639425,-0.00682205268559124,0.541670887852496,-0.000641064458711842,0.87573399301739,0.168894627485084,0.138588049224731,-0.0279577371117698,0.0160873319745262,-0.0169318195510786,0.0908765957328404,-0.0702754417130233,0.617066890917793,0.00733030620808658,0.00530579455242684,0.0198371265751101,0.26717275627925,-0.00166113029883436,0.456262775924818,7.7822943043461e-05,0.950878181600609,-0.012950197442389,0.00018092160741252,-0.00128401018763013,0.513517947405685
"x.bspl3.4",-0.137637998319485,1.18865267412183e-09,-0.332704448152531,7.1484516199197e-17,-0.159127186771893,1.48232956343812e-11,-0.0930914888585912,1.94564955076518e-05,-0.142208454432624,3.91463512094272e-16,-0.225444778241231,3.68041948839185e-17,-0.0111995478351358,0.591227047820027,-0.127176536073426,2.07194276382116e-11,-0.0298264749433028,0.00100396148095619,0.0111118924719192,0.14096488525437,0.0612621946414655,3.24428704757114e-05,-0.054177894813496,7.1266113711416e-07,-0.0120367555529649,0.00302960580921376,-0.436611240624846,6.54795005631174e-05,0.0431926354783557,6.35482398321034e-05,0.00615447933818598,0.525551137915294,-0.103938811971985,0.407973644872709,0.00122419539973985,0.624560309309462,-0.0436071956948634,0.00818512460902218,-0.00829903892803846,0.000106669382707571,-0.000900950600834716,0.453924969333488,0.00515930445058919,0.103996624190828,-0.00229573109208341,0.199476462710731
"x.bspl3.5",0.0747938455816111,0.00220327033101013,0.0256645621017452,0.527320907997801,0.0166244592168131,0.5194042610639,-0.00801920231108425,0.728354349659174,0.00787642735356959,0.656722364131501,-0.0108028412268918,0.692017075269255,0.0320618517482574,0.157264320376953,0.0177573233378068,0.390510530552765,0.00498179168556981,0.59282664968521,-0.0218146240765185,0.00531565524692518,-0.0156270534237085,0.301008563317348,-0.00183384830199761,0.873764543940163,-0.00609976836924373,0.135182470187241,-0.00334843671925412,0.976602012849692,-0.042899931083774,0.000199189221706527,-0.0132058598160721,0.195265499147547,-0.376127018938383,0.00449146792203926,0.0090250430656272,0.000731206653185944,0.0137137449655374,0.435913545760501,-0.00126076495155722,0.571389037003769,-0.000966092256702562,0.447704770877599,-0.0064656539418601,0.0735453126242068,-0.00222584326331112,0.253832588095372
"x.bspl3.6",-0.00784820295240028,0.828257295797454,-0.103232435386049,0.0726186348210231,-0.0270582642818122,0.475292769607784,-0.0207094792152954,0.543635943408935,-0.0594997119366511,0.018384418315646,-0.0466829961415399,0.213389707910463,-0.0263199259847756,0.424057863603883,-0.0367946806212385,0.183304477736541,0.00242564919520297,0.851958778521459,-0.00136021594351801,0.897033876362116,0.0528168063885588,0.00822780943118957,-0.0329360205099289,0.0424331724489378,-0.00256388730697322,0.674775505126394,-0.248791590206145,0.115533055760002,0.0173009403259969,0.273112427597205,0.0319408654838771,0.0195043601833765,0.199674699107776,0.285540004014452,0.000633544264178457,0.867722256003076,-0.00486035215908774,0.84832484826429,0.000799657091465844,0.795723330219801,0.000429729030649494,0.805370668884063,-0.0048225261395142,0.335668821382217,-0.00294988379829638,0.305728069314148
"x.bspl3.7",-0.0148842348750833,0.727520878629063,-0.0417880840364625,0.537238456797187,-0.0800279460636678,0.0773129850400078,-0.083130418100262,0.0392806470338363,-0.0202099772122679,0.504597987387228,-0.0441040130592742,0.313879142104135,0.0767029447100866,0.048823780536505,0.0131719575936444,0.690506261356693,-0.0177552588471432,0.249586174921873,-0.0139511426658483,0.263993589809544,0.0168415642070784,0.495237510375621,-0.019502440461911,0.331434455058797,-0.00561492701637107,0.480452517187111,0.214718923948559,0.262321740714492,-0.0204087639023379,0.27794873488632,-0.0462038710406368,0.00453835491081233,-0.377631815312078,0.0883463746597268,0.00814620967877045,0.0813504013395546,0.000372594866513684,0.990199800256123,-0.00885208874717003,0.0194289290293182,-0.00330997185748272,0.141491927946212,-0.0152501314817912,0.0168803729844047,9.9327498656418e-05,0.978348107990107
