"","coef_H2AFZ","pval_H2AFZ","coef_H3K27ac","pval_H3K27ac","coef_H4K20me1","pval_H4K20me1","coef_H3K36me3","pval_H3K36me3","coef_H3K4me1","pval_H3K4me1","coef_H3K9ac","pval_H3K9ac","coef_H3K9me3","pval_H3K9me3","coef_CTCF","pval_CTCF","coef_DNase hypersensitive sites","pval_DNase hypersensitive sites","coef_RNA Pol2","pval_RNA Pol2","coef_Direct repeats","pval_Direct repeats","coef_Mirror repeats","pval_Mirror repeats","coef_Most conserved element","pval_Most conserved element","coef_Mononucleotides","pval_Mononucleotides","coef_Alu","pval_Alu","coef_MIR","pval_MIR","coef_Replication origin","pval_Replication origin","coef_Sex-averaged recombination hotspots","pval_Sex-averaged recombination hotspots"
"(Intercept)",-0.0021041482514275,0.96595975936436,-0.00302475368267642,0.951187763135633,-0.002739679712694,0.955633070402439,-0.00310916305403455,0.949563649691347,-0.00298954410111918,0.951669195827449,-0.00293340621023577,0.952614353532434,-0.00258513632207098,0.95801956047337,-0.00335638100762961,0.945918525653938,-0.00323306249148168,0.94798441187346,-0.00247839324427324,0.959717074697807,-0.00237856576084145,0.961393272441142,-0.00241525178462565,0.96083495157266,-0.00246554480334822,0.959879357634128,-0.00291958975907734,0.952961817301437,-0.0032740850321112,0.946864170498964,-0.00268134406778919,0.956567143768844,-0.00328350129993523,0.946852402397192,-0.00285235451681794,0.953695257648212
"x.bspl3.1",0.0419755361699327,0.310457783601922,0.0276044009038657,0.608535760144937,-0.0468393586686424,0.220669563848481,-0.0278192818165564,0.424376573327163,0.00154034337717698,0.953576152840977,-0.0065503870511814,0.84123807107391,-0.0337927971294195,0.371889830494656,0.0051650996163732,0.851019301828824,0.0268709775437387,0.353482511076346,-0.0118810094076312,0.448833847281222,0.00192071018529012,0.884067172639578,-0.0442283755933624,0.0754857993708012,0.00396353496820013,0.828821656552489,-0.0189884518199517,0.314293991032813,-0.052268241332582,0.829702619156517,0.000669935016185242,0.940690311839823,-0.00900498808437281,0.172001228744256,-0.00524921208616047,0.179265499574303
"x.bspl3.2",-0.0268514180085144,0.438927616573284,-0.102507817784139,0.0298321634450767,0.00998528630984442,0.751013918041173,-0.0184249271319555,0.542784186291081,-0.0276944968994643,0.206500978854822,-0.0263141709760462,0.358490136015861,0.0115375170726116,0.705388922849646,-0.0135003837071011,0.548781060919819,-0.0344211181594793,0.175234732637471,0.00596433277184595,0.659029059354133,-0.0169727416216705,0.1175832604593,0.0349827461741721,0.0888501777927053,-0.0173024469729086,0.249335853152065,0.00574471395955919,0.724290719364514,0.0646751525372048,0.757527652148552,-0.0130494682773274,0.0729610284208606,0.00721040326782125,0.178793234986475,0.000542013807567335,0.85318187055978
"x.bspl3.3",0.00467123196378757,0.840970407802736,0.0606356932849614,0.0593327799865357,-0.00125209940219719,0.951372881534502,0.00381580722837926,0.854299577507104,0.01063792664334,0.460609093146786,-0.00379038816066866,0.846098075118017,-0.0122826659083632,0.549574543150044,-0.0106878308728395,0.493616868909083,0.0070953140524514,0.682179974767571,-0.00932395191487173,0.334443407427707,-0.0082785754076545,0.306359208179338,-0.00693727626574179,0.644891616589117,0.00564650954655832,0.599523630711835,-0.0281090732500381,0.0227456520510458,0.086247482636772,0.572141433670232,0.0142380038071145,0.00713088679405181,-0.0125895005573862,0.000849515125856091,0.000340810619399712,0.863575635435379
"x.bspl3.4",-0.0727498464717507,0.000535236717727513,-0.126497148885763,3.44292809621135e-05,-0.0456990666906792,0.0122655570377777,-0.0262179566515912,0.151584915713613,-0.0473098345691139,0.000842897356408143,-0.0519404676425165,0.00491455200760711,0.000172382657007606,0.992834703621691,-0.0505659692533653,0.000576492499281436,-0.0691084670350323,5.82559585417777e-05,-0.00868409588480191,0.337199502550223,0.0170657036871676,0.028063910639602,0.0366683941838883,0.0138901756098356,-0.00890367430534015,0.387418888694723,0.0653874636079173,3.78547072209771e-08,-0.0921903265560336,0.513232612596725,-0.0178876987606465,0.000342165051826284,0.0113997758485928,0.00127670726334613,-0.00171370146489113,0.361368299259822
"x.bspl3.5",0.049277726817657,0.0333512120290316,0.0845556731787889,0.0109775099802195,0.033730026085321,0.103394602083151,0.0333550336960737,0.0892118609468269,0.0268136651526346,0.0716380523801985,0.0319181567277765,0.112054501142949,0.0276206948322912,0.202766232605562,0.0355557320818513,0.0251337931754982,0.055255041510739,0.00245066122308881,0.0117617525625676,0.217229000056298,-0.000927325712878457,0.909452450724292,-0.0120924345362845,0.44525123492057,0.0126088164777631,0.242960076772557,-0.0525366232717194,1.97015514684178e-05,-0.157083975095142,0.299044632736068,0.0129223198486237,0.0157991277490731,-0.00453917110989952,0.240839529967313,-0.00153027882370098,0.464034977817404
"x.bspl3.6",-0.000483910057742904,0.988531478840364,-0.0589983832821377,0.203175652743869,0.00722590226847581,0.814306178563892,-0.03859771518508,0.163488728933189,0.000791705180151068,0.970685610110809,-0.0250112321570219,0.366475487744207,-0.0546202746990596,0.0750456426735272,-0.0284176978325869,0.205857593168252,-0.0383170678697925,0.125706595782728,-0.000986917040138251,0.939161376881026,0.0011343781404132,0.918651346463107,0.0327728303141679,0.112511818742919,-0.0124758815274359,0.41110742267159,0.0361611647326354,0.0281888120091733,0.0490729104132334,0.805874522600956,-0.0112582826438118,0.114778499757271,0.00527755247432764,0.336870987231092,-0.00104934026243675,0.73389394078362
"x.bspl3.7",0.0117572806446507,0.770456906350875,0.0763063424984345,0.174217818937662,-0.0244056985538374,0.504881323267401,0.0338235044731797,0.257522001361917,0.00636191385847183,0.804313474129165,0.0574037260100398,0.0817330221643672,0.102806956788644,0.00414174274952753,0.051445755811935,0.0452282439428821,0.0551498422945634,0.0660905743595303,0.000922660849408801,0.953879369939223,0.00621298962351459,0.643741553093021,-0.00770815134698434,0.75997097397997,0.00328377020271139,0.861943579263087,-0.0403861897384215,0.0393773041123023,-0.116390474902508,0.621512816312802,-0.00283663573507341,0.750063352214537,-0.011114658413415,0.119499298165693,0.00396891863752156,0.317224753738885
