"","coef_H2AFZ","pval_H2AFZ","coef_H3K27ac","pval_H3K27ac","coef_H3K4me1","pval_H3K4me1","coef_H3K4me2","pval_H3K4me2","coef_H3K4me3","pval_H3K4me3","coef_H3K9ac","pval_H3K9ac","coef_H3K9me3","pval_H3K9me3","coef_H3K27me3","pval_H3K27me3","coef_CTCF","pval_CTCF","coef_DNase hypersensitive sites","pval_DNase hypersensitive sites","coef_RNA Pol2","pval_RNA Pol2","coef_G Quadruplexes","pval_G Quadruplexes","coef_Direct repeats","pval_Direct repeats","coef_Mirror repeats","pval_Mirror repeats","coef_Most conserved element","pval_Most conserved element","coef_Exons","pval_Exons","coef_GC content","pval_GC content","coef_Mononucleotides","pval_Mononucleotides","coef_Alu","pval_Alu","coef_L1 target motifs","pval_L1 target motifs","coef_CpG islands","pval_CpG islands","coef_Sperm hypomethylation","pval_Sperm hypomethylation","coef_Replication origin","pval_Replication origin","coef_Sex-averaged recombination hotspots","pval_Sex-averaged recombination hotspots","coef_CPG Methylation","pval_CPG Methylation"
"(Intercept)",-0.186858832759494,8.47568729367789e-05,-0.241253270501884,3.11104154246384e-06,-0.237538254727017,4.20046185019522e-06,-0.266917341266453,5.34248618503852e-07,-0.235331828675454,4.2150684707535e-06,-0.245943322209232,3.31580770193304e-06,-0.18183887414511,0.000124638503255748,-0.258224514880994,4.61597113759977e-07,-0.239812315291806,3.92351968636878e-06,-0.273675070696078,4.64036856898772e-07,-0.207367532689939,2.32768855796134e-05,-0.272752519628172,1.52998049195495e-07,-0.200792161107794,3.61680769461178e-05,-0.182290200326311,0.000105024285008276,-0.194596946054369,5.25882674148574e-05,-0.252767142224582,8.32273865568071e-07,-0.30968431661611,1.6562428215101e-08,-0.186276601771848,8.74026587903387e-05,-0.318708641148592,5.8234137110678e-09,-0.193726248117943,5.84057561675373e-05,-0.428124177752803,1.96189290265362e-12,-0.197192454438292,4.15729971657761e-05,-0.305555043936726,1.68389544014471e-08,-0.186478521010943,8.17736956928896e-05,-0.182421524870059,0.000103950050108071
"x.bspl3.1",0.0351318712949424,0.366287778539009,-0.0174133269988127,0.743279075711478,-0.0193661405768292,0.465889987303088,-0.0274059981666607,0.203005049680531,-0.0383293277726158,0.121870199524693,-0.0304397398431552,0.364990582679049,-0.0469914281883557,0.217335449183868,-0.0444833556275417,0.172287228954142,-0.0363600379590086,0.178095269881205,-0.0353715735772624,0.238969379972814,-0.0260902198782283,0.0951846523140712,-0.013487708094495,0.155334447331719,-0.00844145779485197,0.511031440607966,-0.00647805561903772,0.78655274473086,0.00689997849219021,0.697561403793852,0.00429637735882896,0.564521281507009,-0.114522871693741,0.508850979315825,-0.0305540220102297,0.101316319770673,-0.286009496603685,0.216850353567642,0.0451772969623413,0.10902945054496,-0.00160695319628156,0.648706034445305,0.00048043355977464,0.832185073335743,0.00401695977563786,0.528551986148405,-0.00922438491428327,0.0161988118278646,-0.132399717991397,0.458265924326146
"x.bspl3.2",-0.0320166125561878,0.325751992720082,-0.128112886779904,0.00464038315592244,-0.0526068323144377,0.0155040875987068,-0.0301246520972392,0.0841550411676539,-0.0383331622862761,0.0652504764878472,-0.0586227747618472,0.0401289775040091,0.0314266662137293,0.302498739003094,-0.0139141033417303,0.600747690573993,-0.0120102379903062,0.595689714157211,-0.0177190763931507,0.482874420912223,0.000181079204425337,0.989147226177853,-0.00710840997838216,0.360003467740212,-0.0260636585851811,0.0117032937160673,0.00946488799161243,0.634964708694371,-0.0249891468785409,0.0865221035786265,-0.0124813777749864,0.0374603029210043,-0.22620763475677,0.123538481175262,0.00647367653495375,0.676441267562616,-0.218513734337114,0.257541719605349,-0.00771543301824641,0.737913297673763,-0.00750178980947117,0.00701764520157378,-0.00395676452238314,0.0290786283648314,-0.00769443895430056,0.133822191282144,0.00306027004970944,0.300498251543694,0.133687465528274,0.389997824844765
"x.bspl3.3",0.0674263002886369,0.0026286833583827,0.0860393869726944,0.00756766906798885,0.0320371740891662,0.0274440461278236,0.00709838872666581,0.553050997816336,-0.00165835776636614,0.90976558657926,0.0122290049705341,0.548273418337237,-0.000562259523273605,0.978551402628581,0.000412009153526193,0.981374663538904,-0.0154623669724291,0.339155184455954,0.0237438567943421,0.185603545307113,0.00240530217222223,0.79665325225411,-0.0172402260716996,0.00213178067080018,-0.0252892775689487,0.00125010602242837,-0.00869341875483701,0.555427762531207,0.0233832173076764,0.0206180988160595,0.00590225052069014,0.158260669969392,0.252109432312901,0.0181826895729052,-0.0233976926166255,0.0429371223881455,0.0297998564087832,0.829298405210741,0.0496826021876453,0.0018769835553953,-0.00111952820766869,0.562241194068521,0.00223949456683608,0.0737731946683722,-0.00921508053742405,0.00963070625386554,-0.00185568321794399,0.341617178060152,-0.151242472945638,0.172155059987951
"x.bspl3.4",-0.0881938718289715,8.09701710114099e-06,-0.219776949063227,2.72934065353267e-13,-0.104440338095841,1.11002630942522e-13,-0.0864654768079659,3.42718355244844e-14,-0.0984928506432592,1.60911394086563e-12,-0.122223868271802,3.78207876694854e-11,0.0518627197139531,0.00775095498818229,-0.0607204619036798,0.000186251408377277,-0.0846651483035128,7.68248296187917e-09,-0.139111986152464,1.56707129860003e-16,-0.0405082227828248,2.91990125055719e-06,-0.00677929751155791,0.176029165961113,0.0116142649645053,0.122642811103217,0.030908684838771,0.0296181279795887,-0.0502809980977393,7.54720414722619e-08,-0.0181415810742477,3.86742089661724e-06,-0.711236726327061,2.4757363765634e-12,0.0398641865607231,0.000273767199616765,-0.305722025529371,0.015458705447789,-0.0112768747583279,0.456827721392711,-0.0129908435375651,5.36403017419013e-12,-0.00683436530403002,1.14970063779556e-09,-0.00283206497591365,0.364714287877727,-0.00280863988902786,0.131710477005231,0.226134869442069,0.0183737806245864
"x.bspl3.5",0.0255635878092717,0.254205178415992,0.0084641914293071,0.79686477572297,0.0153609797367414,0.313805301783584,-0.00528158769149121,0.679589034817687,-0.0109046017138206,0.49356495570185,-0.0100839649339868,0.630609083060296,-0.0269436591596535,0.211166997934714,-0.0356766458176373,0.0638612881398319,-0.0141329142818589,0.385761579700451,0.0159417339494514,0.400820211114504,0.0118039911552843,0.196060130424355,-0.012840168376691,0.0209441813377125,-0.0311280522735278,0.000111354861703176,-0.0282064247301487,0.0605480122750804,0.0136168082492329,0.165871243072709,-0.00237279006118219,0.56218797467389,0.286754691253759,0.00576045127170732,-0.0295131218761699,0.00894821944575563,-0.0797962375963328,0.556059822438088,0.0285039581274642,0.0870070194275493,-0.0046753372376969,0.0206305084907458,0.000335584204661214,0.789612789130012,-0.00272507461147191,0.434726035028554,0.000905462657121293,0.663852353843927,-0.133025368357268,0.254675096815039
"x.bspl3.6",0.0458211979548812,0.173718612201482,-0.00107166813663072,0.982215808756393,-0.0136357787134437,0.538419115690966,-0.00764270490659023,0.673586125283328,-0.0174895950367951,0.422328382332833,-0.00932553242401253,0.755409618224474,-0.0012969770114709,0.965671078330121,0.00702424290688412,0.797470172720839,-0.014385293566114,0.527488048000233,-0.00353155589207127,0.894345460328971,-0.00687345352784139,0.60006791030302,0.00328662560759917,0.669215736814287,0.00261075777128675,0.806916439114499,0.010367953711741,0.598017664511518,-0.00845336079601773,0.557389025495425,0.00468268309421237,0.448490789770191,-0.229070489968669,0.121179083374552,-0.00564982659527678,0.719926585281697,-0.243387571858288,0.194996946744144,0.00305904376100027,0.896292828757428,0.000276251571274509,0.919530387595828,0.000828345799604443,0.648819161057889,-0.00581006313535232,0.256398173211615,-0.00450088700751629,0.146476439024629,0.0528453323001688,0.748484343257005
"x.bspl3.7",0.0248857846118755,0.533858740573624,-0.055742656296211,0.334844464220435,-0.0154427188339418,0.560791144742318,-0.0196151934709873,0.36024466675524,-0.00849677474072122,0.741346111008295,-0.00781705445382727,0.825332181188239,0.0485048844185472,0.17468974553316,-0.0114136143527247,0.707065541016558,0.00214097090910118,0.937371567279948,0.0114574671841291,0.716569841619389,-0.0199488919119833,0.202423046058821,-0.0205406635680018,0.03086877562108,-0.0289587990981118,0.024501066492059,0.0195536832678514,0.429438702352549,-0.0192501942553437,0.279190537257821,-0.0254735303990025,0.00115785859047612,0.141113283418262,0.43059482417591,0.0104400471730072,0.581323213875126,0.141516717020333,0.526237667739393,0.0079688791735769,0.777087355243919,-0.00282014867448604,0.417047422949968,-0.00312646121638613,0.168767160610354,-0.0069508412859368,0.299311507736801,0.00105336750443998,0.784679688290114,-0.17295877025956,0.353977095102966
