"","feature","feature_num","feature_names","coefficient","significance","pseudoR2"
"1","lowfeature_1",1,"Dis_Telo","1.1045409639472e-08","6.89743312283277e-10","0.0154066144216124"
"2","lowfeature_2",2,"Dis_Cent","-2.26793594282949e-09","0.124202744092989","0.000938149513252329"
"3","lowfeature_3",3,"Rep_Timing","-4.13676977525671","2.20985546203368e-56","0.117374002789086"
"4","lowfeature_4",4,"Female_Recom_Rate","-0.255773268135629","4.62945498419461e-10","0.0157294906700962"
"5","lowfeature_5",5,"Male_Recom_Rate","-0.136235889377828","0.000301621676491844","0.0052212734767948"
"6","lowfeature_6",6,"Average_Recom_Rate","-0.0496066923909383","0.225954984079975","0.00058074157685517"
"7","lowfeature_7",7,"Telomere_Hexamer","-0.0354856720466457","7.05910910278406e-07","0.00999251186173922"
